train/loss,train/mse_loss,epoch,step
0.17603783309459686,0.17603783309459686,16,49
0.20785918831825256,0.20785918831825256,33,99
0.14201311767101288,0.14201311767101288,49,149
0.08999646455049515,0.08999646455049515,66,199
0.11354503780603409,0.11354503780603409,83,249
0.06614507734775543,0.06614507734775543,99,299
